Key,Delta Time (ms)
r,115.4169921875
b,170.865234375
o,92.978515625
a,156.064453125
r,139.750732421875
d,747.141845703125
b,199.97119140625
o,122.895263671875
a,101.619384765625
r,102.501953125
d,125.257568359375
b,283.866455078125
o,60.427001953125
x,140.32568359375
",",140.414794921875
w,201.10888671875
h,125.252685546875
i,139.2060546875
c,87.95751953125
h,62.4189453125
i,299.085205078125
s,123.850341796875
i,218.896240234375
m,186.962158203125
m,141.309814453125
e,77.627197265625
d,58.508056640625
i,111.498779296875
a,245.889892578125
t,343.96826171875
l,147.1455078125
e,569.304443359375
l,172.649658203125
y,140.519775390625
c,328.452880859375
l,216.891845703125
l,672.02734375
o,142.04248046875
s,76.2548828125
e,108.303955078125
d,75.410400390625
a,195.914794921875
n,84.38671875
d,46.226806640625
o,248.74267578125
f,66.210693359375
t,140.851318359375
e,91.52685546875
n,39.1083984375
t,226.114501953125
a,100.398193359375
p,86.4130859375
e,93.746826171875
s,217.595703125
d,452.75048828125
s,204.644287109375
h,75.40478515625
u,201.783935546875
t,171.14599609375
.,74.50439453125
T,363.58935546875
h,139.233642578125
e,139.425048828125
r,47.58251953125
e,78.300537109375
i,294.268798828125
s,81.083740234375
n,199.633544921875
o,187.13623046875
p,310.76318359375
h,78.1044921875
y,171.7705078125
s,201.9033203125
i,172.120361328125
c,93.64208984375
a,154.681396484375
l,123.793701171875
s,310.463134765625
e,123.846923828125
p,110.397705078125
a,124.796630859375
r,127.17236328125
a,124.430908203125
t,150.625244140625
i,114.53369140625
o,170.4765625
n,125.98095703125
a,186.565673828125
f,78.86572265625
t,573.6123046875
e,111.599609375
r,64.230224609375
t,141.62109375
h,92.888916015625
e,47.76025390625
s,203.235107421875
l,78.5908203125
i,169.289794921875
c,46.996826171875
i,126.757080078125
n,123.405029296875
g,125.7822265625
",",108.868408203125
s,264.12744140625
o,92.098876953125
t,170.750244140625
h,134.906982421875
a,160.8984375
t,188.6923828125
e,248.46044921875
d,172.716796875
