Key,Delta Time (ms)
e,59.9621582
",",272.9970703
a,344.9907227
p,260.5231934
l,140.3913574
a,94.31958008
n,108.0888672
e,92.69750977
f,389.8393555
u,48.2355957
l,184.489502
l,125.0119629
o,234.6057129
f,74.60253906
g,436.3813477
r,151.3078613
o,77.38916016
w,109.6135254
n,107.9099121
n,252.6945801
h,892.5532227
u,177.3171387
m,184.0979004
a,112.2062988
n,31.91040039
b,309.6430664
e,62.4284668
i,579.4035645
n,468.7045898
g,103.973877
s,160.6157227
",",144.8637695
m,293.7199707
a,128.8481445
m,768.8630371
a,498.2751465
n,269.4807129
y,187.402832
o,332.763916
f,128.0869141
u,256.6186523
s,120.8212891
p,264.409668
a,68.44726563
r,88.14038086
t,225.0922852
i,349.2260742
a,109.4345703
l,80.20727539
l,124.5246582
y,205.6552734
e,174.8320313
d,338.8571777
u,140.684082
c,468.3796387
a,156.0966797
t,92.27172852
e,170.685791
d,74.28955078
",",252.001709
a,250.6708984
n,79.93969727
d,176.3100586
t,488.4597168
h,64.62231445
e,91.96459961
y,341.1748047
',336.8935547
r,106.3762207
e,61.81469727
a,633.7192383
c,134.4494629
t,211.6899414
u,52.06665039
a,196.5805664
l,123.9689941
l,121.8374023
y,84.36743164
t,307.6945801
a,175.8942871
k,64.49243164
i,144.302002
n,124.7133789
g,76.11303711
t,160.847168
i,32.13305664
m,141.1203613
e,32.59619141
o,204.7207031
u,144.7973633
t,402.2956543
t,172.201416
o,28.15234375
d,202.2307129
e,93.61987305
s,119.5871582
c,83.89428711
r,78.81347656
i,93.05053711
b,187.0534668
e,61.22412109
t,155.3540039
h,46.23876953
e,94.78320313
i,168.826416
n,140.9694824
t,85.77490234
r,148.8383789
i,77.43286133
c,111.4655762
i,139.7456055
a,140.6618652
t,76.34326172
e,108.5922852
c,1140.374512
a,44.53442383
t,128.1264648
a,862.4384766
t,43.59277344
e,108.1208496
w,798.2663574
o,92.24023438
r,59.87890625
k,96.5012207
i,158.2641602
n,148.6694336
g,88.60327148
s,252.6831055
o,216.8344727
f,93.2019043
a,171.7546387
b,232.1918945
e,67.43383789
l,121.4384766
t,78.08325195
b,359.2578125
u,170.6586914
c,96.51953125
k,90.34277344
l,205.7680664
e,95.43408203
.,134.576416
w,399.057373
e,301.8425293
l,172.6711426
l,116.2780762
",",305.0539551
i,307.8725586
a,407.0842285
s,28.15454102
k,461.1618652
f,268.9611816
o,80.37255859
r,79.87133789
c,168.3752441
l,92.30908203
a,96.21264648
r,120.4985352
i,241.7929688
f,153.7666016
i,75.71850586
c,88.89453125
a,212.4072266
t,76.27416992
i,31.97705078
o,76.22045898
n,180.0136719
a,246.4116211
t,118.3510742
t,179.4331055
h,48.00708008
a,96.25390625
t,60.21459961
p,171.5148926
o,124.8144531
i,236.1201172
n,192.513916
t,48.20117188
.,313.1271973
d,345.3920898
i,178.3432617
d,217.114502
y,269.5424805
o,63.75463867
u,140.3127441
s,213.2504883
a,161.697998
y,60.30761719
',682.6235352
p,249.9697266
l,144.1606445
a,165.5883789
c,76.52734375
e,153.3583984
t,187.7695313
h,33.47143555
e,120.0861816
s,208.7099609
m,60.11181641
a,116.282959
l,108.2644043
l,129.4577637
m,465.423584
e,80.62597656
t,140.722168
a,160.0932617
l,95.58007813
f,632.8398438
l,112.3837891
a,80.25390625
p,60.56323242
i,1134.870605
n,162.8054199
t,92.10449219
o,100.7939453
t,390.2099609
h,68.30615234
e,76.66967773
b,293.7109375
u,124.6972656
c,108.5681152
k,127.6516113
l,341.5668945
e,156.9458008
',859.925293
',861.8779297
o,384.3273926
r,111.7941895
',747.5244141
p,734.7055664
l,525.7294922
p,795.7954102
l,269.5603027
a,145.0114746
c,108.8447266
e,124.4936523
t,197.3676758
h,47.79541016
e,91.99682617
b,273.7055664
u,266.7785645
c,89.39892578
k,95.99267578
l,157.0776367
e,107.701416
o,212.4899902
v,4.391113281
e,172.1179199
r,63.93603516
a,176.9523926
n,80.02416992
d,95.77587891
a,288.9638672
r,96.8605957
o,144.9882813
u,186.8000488
n,139.9995117
d,653.1025391
t,297.0517578
h,57.38720703
e,114.9567871
s,497.1582031
m,85.08447266
a,231.5639648
l,81.58227539
l,128.2885742
m,285.4968262
e,61.41259766
t,225.4577637
a,235.4575195
l,78.54052734
f,330.8183594
l,160.5812988
a,172.6105957
p,123.3935547
',905.8833008
?,264.8684082
